"date","tipo_refeicao","restaurante_utilizado","categoria_padrao","categoria_vegano","dia_semana","mes","almoco","periodo_semestre","quantidade","feriado_dummy"
2024-04-15,"Almoço","RA","peixe","pts_proteina_texturizada","seg","abr","1","meio",901,0
2024-04-15,"Almoço","RS","peixe","leguminosas","seg","abr","1","meio",1096,0
2024-04-15,"Jantar","RU","bovino","leguminosas","seg","abr","0","meio",2989,0
2024-04-15,"Jantar","RA","bovino","leguminosas","seg","abr","0","meio",789,0
2024-04-15,"Jantar","RS","bovino","leguminosas","seg","abr","0","meio",944,0
2024-04-16,"Almoço","RU","frango","leguminosas","ter","abr","1","meio",4734,0
2024-04-16,"Almoço","RA","frango","leguminosas","ter","abr","1","meio",1481,0
2024-04-16,"Almoço","RS","frango","leguminosas","ter","abr","1","meio",2035,0
2024-04-16,"Jantar","RU","peixe","pts_proteina_texturizada","ter","abr","0","meio",2065,0
2024-04-16,"Jantar","RA","peixe","pts_proteina_texturizada","ter","abr","0","meio",624,0
2024-04-16,"Jantar","RS","peixe","pts_proteina_texturizada","ter","abr","0","meio",592,0
2024-04-17,"Almoço","RU","bovino","leguminosas","qua","abr","1","meio",4291,0
2024-04-17,"Almoço","RA","bovino","leguminosas","qua","abr","1","meio",1394,0
2024-04-17,"Almoço","RS","bovino","leguminosas","qua","abr","1","meio",2234,0
2024-04-17,"Jantar","RU","frango","leguminosas","qua","abr","0","meio",3199,0
2024-04-17,"Jantar","RA","frango","leguminosas","qua","abr","0","meio",838,0
2024-04-17,"Jantar","RS","frango","leguminosas","qua","abr","0","meio",1025,0
2024-04-18,"Almoço","RU","bovino","pts_proteina_texturizada","qui","abr","1","meio",4107,0
2024-04-18,"Almoço","RA","bovino","pts_proteina_texturizada","qui","abr","1","meio",1346,0
2024-04-18,"Almoço","RS","bovino","pts_proteina_texturizada","qui","abr","1","meio",1849,0
2024-04-18,"Jantar","RU","bovino","pts_proteina_texturizada","qui","abr","0","meio",2941,0
2024-04-18,"Jantar","RA","bovino","pts_proteina_texturizada","qui","abr","0","meio",871,0
2024-04-18,"Jantar","RS","bovino","pts_proteina_texturizada","qui","abr","0","meio",1056,0
2024-04-19,"Almoço","RS","suino","leguminosas","sex","abr","1","meio",1603,0
2024-04-19,"Almoço","RU","suino","leguminosas","sex","abr","1","meio",3976,0
2024-04-19,"Almoço","RA","suino","leguminosas","sex","abr","1","meio",1204,0
2024-04-19,"Jantar","RU","bovino","leguminosas","sex","abr","0","meio",2346,0
2024-04-19,"Jantar","RA","bovino","leguminosas","sex","abr","0","meio",580,0
2024-04-19,"Jantar","RS","bovino","leguminosas","sex","abr","0","meio",639,0
2024-04-22,"Almoço","RU","bovino","leguminosas","seg","abr","1","meio",3788,0
2024-04-22,"Almoço","RS","bovino","leguminosas","seg","abr","1","meio",1628,0
2024-04-22,"Almoço","RA","bovino","leguminosas","seg","abr","1","meio",1348,0
2024-04-22,"Jantar","RU","frango","leguminosas","seg","abr","0","meio",3183,0
